Pérdidas,CP UNIDADES,Costo M$,Dda. SING,Gen. SING,ANDES SOLAR,ANG1,ANG2,CAVA,CCR1 (Carbón),CHAP,CTA,CTH,CTM1 (Carbón),CTM2 (Carbón),EÓLICA VALLE DE LOS VIENTOS,LA HUAYCA II,MARIA ELENA FV,MHAH,MHT2,NTO1 (Carbón),NTO2 (Carbón),PAM,PARQUE SOLAR FINIS TERRAE,PAS2,PAS3,SOLAR JAMA 1,SOLAR JAMA 2,TG3 (Diesel),TGTAR,U12 (Carbón),U13 (Carbón),U14 (Carbón),U15 (Carbón),U16-TG + U16-TV,UG1 (HFO),UG2 (HFO),UG3 (HFO),UG4 (HFO),UG5 (HFO),UG6 (HFO),RES_GIRO_UTIL,RES_PRONTA,RES_DETENIDA_CP,RES.PRIMARIA,GEN. EN PRUEBAS,GENERACION AES GENER,GENERACION ANGAMOS,GENERACION CELTA,GENERACION ENGIE,GENERACION ENORCHILE,GENERACION EQUIPOS DE GENERACION,GENERACION GASATACAMA,GENERACION HORNITOS,TG3 (Gas Natural),AGB,CTM3-TG + CTM3-TV,GMAR,INACAL,MIMB (Diesel + Fuel Oil),TG2,ZOFRI_13,ZOFRI_2-5,ZOFRI_6,ZOFRI_7-12,M1AR,M2AR,SUIQ,TG1B + 0.5 TV1C (Diesel),TG2A + 0.5 TV2C (Diesel),TG2A + TG2B + TV2C (Diesel),TG2B + 0.5 TV2C (Diesel),TG1,CTTAR (Carbón),ZOFRI_1,CCR2 (Carbón),KELAR TG1 (Gas Natural),PARQUE SOLAR PAMPA CAMARONES,TG1A + 0.5 TV1C (Diesel),KELAR TG2 (Gas Natural)
40,222,37.56,1956.1,2218.1,18.4,267.5,271.6,1.8,150,5.6,164.6,118.5,90,90,4.9,22.8,55.8,1,1,135.3,131.9,17,113.4,6.5,13.6,25.9,18.8,0,0,50,50,75,25,0,0,0,0,0,0,0,276.6,499.1,624.2,112.2,0,285.6,539.1,0,387.8,120.4,0,0,118.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,222,35.61,1940.3,2202.3,18.5,267.5,271.6,1.8,150,5.6,133.5,100,90,90,2,24.8,54.9,1,1,135.3,131.9,17,112.8,6.3,13.3,25.7,18.6,0,0,50,50,75,60,0,0,0,0,0,0,0,326.2,449.5,624.2,112.2,0,285.7,539.1,0,424.8,118.9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,226,33.18,1919.7,2183.7,18.7,267.5,271.6,1.8,150,5.6,100,100,90,90,7.8,23.9,55,1,1,65,119.5,17,114.1,6.4,13.5,25.8,18.7,0,0,50,50,75,60,0,0,0,0,0,0,0,442.4,333.2,624.2,112.2,0,203.1,539.1,0,425.4,119.2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,226,30.73,1909.7,2173.7,18.8,170.3,271.6,1.9,150,1,100,100,90,90,26.6,24.7,55.7,1,1,65,92.3,17,74.4,6.3,13.3,25.9,18.8,0,0,50,50,75,60,0,0,0,0,0,0,0,566.8,266.9,624.2,112.2,0,176.1,441.9,0,421.1,120,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,234,37.75,1936.3,2213.3,18.8,150,169.2,1.9,150,1,100,100,90,90,49.3,22.8,56,1,1,65,92.3,17,72.9,6.3,13.4,26.2,19,10,8,50,50,75,60,124,0,0,0,0,0,0,768.5,144.2,596.2,141.2,0,176.2,319.2,8,555.2,120.9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,199,38.31,1938.1,2172.1,18.6,267.5,271.6,1.9,150,1,100,100,90,90,65.7,19.1,54.4,1,1,65,127.7,17,113.4,6.4,13.5,26.2,19,10,8,50,50,75,60,124,0,0,0,0,0,0,513.2,274.4,596.2,122.2,0,211.3,539.1,8,555.1,119.4,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,199,38.76,1970.7,2208.7,16,267.5,271.6,1.9,150,1,100,100,90,90,72.3,13.5,45.8,1,1,133,131.9,17,102.2,6.2,13.1,23.2,16.8,10,0,50,50,75,60,124,0,0,0,0,0,0,430,346.7,596.2,117.2,0,280.9,539.1,0,554.7,105.1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,222,42.28,1966.8,2230.8,9.1,267.5,271.6,1.9,150,1,146.5,100,90,90,71.7,5.8,25.9,1,1,135.3,131.9,17,59.5,4.1,8.6,14.1,10.2,10,0,50,50,75,125,0,0,0,0,0,0,0,331.2,445.5,596.2,122.2,0,276.3,539.1,0,495.1,62.8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,222,38.88,1989,2260,0.7,267.5,271.6,3.1,133,4,164.6,133,90,90,63,0.3,2.8,1,1,135.3,131.9,17,5.4,0.2,0.4,1.4,1,10,0,50,50,75,125,0,0,0,0,0,0,0,394.2,648.9,596.2,122.2,0,267.9,539.1,0,497.8,5.7,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,222,41.06,2063.7,2335.7,0,267.5,271.6,3.1,172,5,164.6,165.1,90,90,45.4,0,0,1,1,135.3,131.9,17,0,0,0,0,0,0,0,50,50,122,116,0,0,0,6.7,0,2.1,0,258,758,624.2,122.2,0,267.2,539.1,0,523.4,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,229,50.68,2142.7,2427.7,0,267.5,271.6,3.1,222,5,164.6,165.1,90,90,27,0,0,1,1,135.3,131.9,17,0,0,0,0,0,0,0,50,50,122,116,124,6.7,5.5,6.7,6.7,0,0,258,808,624.2,136.2,0,267.2,539.1,0,647,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,230,47.18,2144.6,2429.6,0,267.5,271.6,3.1,218.6,5,164.6,165.1,90,93.4,13.4,0,0,1,1,135.3,131.9,17,0,0,0,0,0,0,0,50,50,122,116,127.2,6.7,0,6.7,6.7,8.9,8.9,258,811.2,624.2,136.2,0,267.2,539.1,0,653.6,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,229,45.58,2107.7,2391.7,0,267.5,271.6,3.1,219.8,5,164.6,165.1,90,92.2,6.3,0,0,1,1,135.3,131.9,17,0,0,0,0,0,0,0,50,50,122,116,127.6,0,0,6.7,0,0,0,258,811.6,624.2,136.2,0,267.2,539.1,0,652.8,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,218,42.43,1878.5,2137.5,0,267.5,271.6,1.8,247,5,164.6,165.1,0,127.1,2.6,0,0,1,1,135.3,131.9,17,0,0,0,0,0,0,0,50,50,122,25,124,0,0,0,0,0,0,136.9,704.1,632.2,121.2,0,267.2,539.1,0,503.1,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,210,43.83,1869.1,2120.1,0,267.5,271.6,1.8,247,1,164.6,165.1,0,131,2.7,0,0,1,1,135.3,131.9,17,0,0,0,0,0,0,0,50,50,122,0,131.6,0,0,0,0,0,0,133,715.6,632.2,121.2,0,267.2,539.1,0,485.6,0,0,0,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
